route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
806,RINFRA-801-1_Weekday-17,46663199,,1,652,806SB_160306
806,RINFRA-801-1_Weekday-17,46663200,,1,656,806SB_160306
806,RINFRA-801-1_Weekday-17,46663201,,1,654,806SB_160306
806,RINFRA-801-1_Weekday-17,46663202,,1,604,806SB_160306
806,RINFRA-801-1_Weekday-17,46663203,,1,655,806SB_160306
806,RINFRA-801-1_Weekday-17,46663204,,1,601,806SB_160306
806,RINFRA-801-1_Weekday-17,46663205,,1,602,806SB_160306
806,RINFRA-801-1_Weekday-17,46663206,,1,603,806SB_160306
806,RINFRA-801-1_Weekday-17,46663207,,1,604,806SB_160306
806,RINFRA-801-1_Weekday-17,46663208,,1,652,806SB_160306
806,RINFRA-801-1_Weekday-17,46663209,,1,653,806SB_160306
806,RINFRA-801-1_Weekday-17,46663210,,1,653,806SB_160306
806,RINFRA-801-1_Weekday-17,46663211,,1,603,806SB_160306
806,RINFRA-801-1_Weekday-17,46663212,,1,654,806SB_160306
806,RINFRA-801-1_Weekday-17,46663213,,1,655,806SB_160306
806,RINFRA-801-1_Weekday-17,46663214,,1,656,806SB_160306
806,RINFRA-801-1_Weekday-17,46663215,,1,602,806SB_160306
806,RINFRA-801-1_Weekday-17,46663216,,1,667,806SB_160306
806,RINFRA-801-1_Weekday-17,46663217,,1,665,806SB_160306
806,RINFRA-801-1_Weekday-17,46663218,,1,666,806SB_160306
806,RINFRA-801-1_Weekday-17,46663219,,1,670,806SB_160306
806,RINFRA-801-1_Weekday-17,46663220,,1,668,806SB_160306
806,RINFRA-801-1_Weekday-17,46663221,,1,669,806SB_160306
806,RINFRA-801-1_Weekday-17,46663222,,1,652,806SB_160306
806,RINFRA-801-1_Weekday-17,46663223,,1,671,806SB_160306
806,RINFRA-801-1_Weekday-17,46663224,,1,666,806SB_160306
806,RINFRA-801-1_Weekday-17,46663225,,1,672,806SB_160306
806,RINFRA-801-1_Weekday-17,46663226,,1,665,806SB_160306
806,RINFRA-801-1_Weekday-17,46663227,,1,667,806SB_160306
806,RINFRA-801-1_Weekday-17,46663228,,1,668,806SB_160306
806,RINFRA-801-1_Weekday-17,46663229,,1,669,806SB_160306
806,RINFRA-801-1_Weekday-17,46663230,,1,652,806SB_160306
806,RINFRA-801-1_Weekday-17,46663231,,1,672,806SB_160306
806,RINFRA-801-1_Weekday-17,46663232,,1,670,806SB_160306
806,RINFRA-801-1_Weekday-17,46663233,,1,671,806SB_160306
806,RINFRA-801-1_Weekday-17,46663234,,1,666,806SB_160306
806,RINFRA-801-1_Weekday-17,46663235,,0,651,806NB_160306
806,RINFRA-801-1_Weekday-17,46663236,,0,657,806NB_160306
806,RINFRA-801-1_Weekday-17,46663237,,0,659,806NB_160306
806,RINFRA-801-1_Weekday-17,46663238,,0,658,806NB_160306
806,RINFRA-801-1_Weekday-17,46663239,,0,664,806NB_160306
806,RINFRA-801-1_Weekday-17,46663240,,0,661,806NB_160306
806,RINFRA-801-1_Weekday-17,46663241,,0,660,806NB_160306
806,RINFRA-801-1_Weekday-17,46663242,,0,663,806NB_160306
806,RINFRA-801-1_Weekday-17,46663243,,0,663,806NB_160306
806,RINFRA-801-1_Weekday-17,46663244,,0,651,806NB_160306
806,RINFRA-801-1_Weekday-17,46663245,,0,662,806NB_160306
806,RINFRA-801-1_Weekday-17,46663246,,0,657,806NB_160306
806,RINFRA-801-1_Weekday-17,46663247,,0,658,806NB_160306
806,RINFRA-801-1_Weekday-17,46663248,,0,664,806NB_160306
806,RINFRA-801-1_Weekday-17,46663249,,0,659,806NB_160306
806,RINFRA-801-1_Weekday-17,46663250,,0,660,806NB_160306
806,RINFRA-801-1_Weekday-17,46663251,,0,661,806NB_160306
806,RINFRA-801-1_Weekday-17,46663252,,0,651,806NB_160306
806,RINFRA-801-1_Weekday-17,46663253,,0,601,806NB_160306
806,RINFRA-801-1_Weekday-17,46663254,,0,602,806NB_160306
806,RINFRA-801-1_Weekday-17,46663255,,0,653,806NB_160306
806,RINFRA-801-1_Weekday-17,46663256,,0,654,806NB_160306
806,RINFRA-801-1_Weekday-17,46663257,,0,655,806NB_160306
